기준항,경도,위도,지점번호,지점명
강원 강릉시,128.8314,37.8954,22310.0,고성
강원 고성군,128.4471,38.4051,22310.0,고성
강원 동해시,129.1146,37.5245,22311.0,삼척
강원 삼척시,129.2258,37.3789,22311.0,삼척
강원 속초시,128.5913,38.207,22310.0,고성
강원 양양군,128.7606,37.9687,22310.0,고성
경기 김포시,126.7158,37.6156,22101.0,덕적도
경기 화성시,126.7088,37.1666,22101.0,덕적도
경남 거제시,128.6212,34.91,22104.0,거제도
경남 고성군,128.2327,34.939,22146.0,거제도
경남 남해군,128.0089,34.7626,22188.0,통영
경남 마산시,128.5674,35.197,22104.0,거제도
경남 사천시,128.0646,35.0035,22188.0,통영
경남 창원시,128.5808,35.1319,22104.0,거제도
경남 통영시,128.4332,34.8543,22104.0,거제도
경남 하동군,127.7517,35.0671,22188.0,통영
경북 경주시,129.5017,35.8059,22189.0,울산
경북 영덕군,129.433,36.4007,22106.0,포항 
경북 울릉군,130.8986,37.4914,21229.0,울릉도
경북 울진군,129.417,36.9848,22190.0,울진
경북 포항시,129.5544,35.9893,22106.0,포항 
부산광역시,129.0241,35.1065,22104.0,거제도
서귀포시,126.561,33.2528,22187.0,서귀포
울산광역시,129.3604,35.5826,22189.0,울산
인천광역시,126.6214,37.4735,22101.0,덕적도
전남 강진군,126.8278,34.4707,22183.0,신안
전남 고흥군,127.4282,34.5208,22103.0,거문도
전남 목포시,126.3848,34.7903,22183.0,신안
전남 무안군,126.3403,34.9519,22183.0,신안
전남 보성군,127.0955,34.6886,22183.0,신안
전남 순천시,127.4873,34.9505,22188.0,통영
전남 신안군,126.1118,34.8454,22183.0,신안
전남 여수시,127.6599,34.7546,22188.0,통영
전남 영광군,126.4682,35.3545,22186.0,부안
전남 영암군,126.4694,34.7458,22183.0,신안
전남 완도군,126.7152,34.3256,22183.0,신안
전남 장흥군,126.9471,34.4815,22183.0,신안
전남 진도군,126.2071,34.4043,22183.0,신안
전남 함평군,126.5166,35.0657,22183.0,신안
전남 해남군,126.5273,34.3766,22183.0,신안
전북 고창군,126.5976,35.479,22186.0,부안
전북 군산시,126.3757,35.8513,22186.0,부안
전북 부안군,126.5233,35.6259,22186.0,부안
제주시,126.3752,33.4998,22184.0,추자도
충남 보령시,126.6132,36.334,22108.0,외연도
충남 서산시,126.4226,36.8727,22101.0,덕적도
충남 서천군,126.6916,36.0801,22108.0,외연도
충남 태안군,126.2314,36.716,22101.0,덕적도
충남 홍성군,126.5761,36.582,22108.0,외연도
