선박번호,선박이름,선적항,선적항_geo,경도,위도,기준항,기준지역,경도_기준항,위도_기준항,경도_기준항.1,위도_기준항.1
18090026479308,일도호,경북 울진군 매화면,경북 울진군 매화면,129.38224585896592,36.89216550256548,경북 울진군,경북,129.4038,36.9539,129.4038,36.9539
16100076501109,제72대동호,제주시 추자면,제주시 추자면,126.31577943611929,33.952909704595044,제주시,제주,126.2746,33.3929,126.2746,33.3929
16090026501107,제2016금양호,제주시 추자면,제주시 추자면,126.31577943611929,33.952909704595044,제주시,제주,126.2746,33.3929,126.2746,33.3929
16100036479308,해주호,경북 울진군 매화면,경북 울진군 매화면,129.38224585896592,36.89216550256548,경북 울진군,경북,129.4038,36.9539,129.4038,36.9539
99080046428201,제99광영호,강원 고성군 죽왕면,강원 고성군 죽왕면,128.5103671102277,38.32898598490785,강원 고성군,강원,128.4368,38.4327,128.4368,38.4327
5120016477703,우신호,강원 삼척시 원덕읍,강원 삼척시 원덕읍,129.3120864188569,37.18727285663184,강원 삼척시,강원,129.3121,37.1873,129.3121,37.1873
19100026422300,제3해광호,강원 삼척시 원덕읍,강원 삼척시 원덕읍,129.3120864188569,37.18727285663184,강원 삼척시,강원,129.3121,37.1873,129.3121,37.1873
17030016422300,시장1호,강원 삼척시 원덕읍,강원 삼척시 원덕읍,129.3120864188569,37.18727285663184,강원 삼척시,강원,129.3121,37.1873,129.3121,37.1873
19050016422302,우성호,강원 삼척시 원덕읍,강원 삼척시 원덕읍,129.3120864188569,37.18727285663184,강원 삼척시,강원,129.3121,37.1873,129.3121,37.1873
12050116482204,동인호,경남 통영시 산양읍,경남 통영시 산양읍,128.3892208517624,34.795837286362165,경남 통영시,경남,128.3892,34.7958,128.3892,34.7958
16060106482205,제2비너스호,경남 통영시 산양읍,경남 통영시 산양읍,128.3892208517624,34.795837286362165,경남 통영시,경남,128.3892,34.7958,128.3892,34.7958
98120086422108,동일호,제주시 한림읍,제주시 한림읍,126.27458493024352,33.392927801058626,제주시,제주,126.2746,33.3929,126.2746,33.3929
10020026501103,풍성호,제주시 한림읍,제주시 한림읍,126.27458493024352,33.392927801058626,제주시,제주,126.2746,33.3929,126.2746,33.3929
5110016491109,재영호,제주시 한림읍,제주시 한림읍,126.27458493024352,33.392927801058626,제주시,제주,126.2746,33.3929,126.2746,33.3929
