지점명,지점번호,위도,경도,거리
거문도,22103,34.00135,127.50127222,569.8714999406401
거제도,22104,34.7667 ,128.9,454.2092755542073
덕적도,22101,37.23611111,126.01875,371.98412794860695
마라도,22107,33.0833,126.0333,718.0069741597624
부안,22186, 35.65861111,125.81388889,494.42287569383774
서귀포,22187,33.12805556 ,127.02277778,676.1522019246039
신안,22183,34.73333333 ,126.2417,550.0478322970891
외연도,22108,36.25,125.75,453.9231173894047
울릉도,21229,37.4554,131.1144,190.3969510133183
울산,22189,35.34527778,129.84138889,383.460520640036
울진,22190,36.90694444,129.87444444,210.33388227687993
추자도,22184,33.79361, 126.14111111,643.7743886149661
칠발도,22102,34.7933,125.7769,569.4711228337039
통영,22188,34.39166667,128.225,508.2310553393995
포항 ,22106,36.35 ,129.78333333,271.92612153680096
홍도,22298,34.74666667,125.24555556,604.1380111382599
